matricula,numero_emergencia,pn,nomenclatura,tipo,data_abertura,data_info,estoque,inicio_negativacao,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2741,313260018708,2698010-7,PASSENGER DOOR - LOW,IPLR,2026-08-19,2026-08-18,Não,2026-08-19,,2026-09-01,2026-09-18
2721,329260019288,C662504-0101,GAGE VOLT AMME,AIFP,2026-08-28,2026-08-28,Não,2026-08-31,2026-09-10,2026-09-01,2026-09-09
2729,685260012775,060-0017-00,FLIGHT DIR HOR,IPLR,2026-09-10,2026-09-10,Não,2026-09-11,,2026-09-11,2026-09-18
