matricula,numero_emergencia,pn,nomenclatura,tipo,data_abertura,data_info,estoque,inicio_negativacao,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2719,685260010636,3034792,BOMBA DE COMBUSTÍVEL,IPLR,2026-01-14,2026-01-16,Não,2026-01-19,2026-02-09,2026-02-01,2026-02-08
2719,685260010849,3034792,BOMBA DE COMBUSTÍVEL,IPLR,2026-02-09,2026-01-16,Não,2026-01-19,2026-02-23,2026-02-01,2026-02-22
2719,685260010680,2654029-11,SLEEVE THREADED,IPLR,2026-01-28,2026-01-28,Não,2026-01-29,2026-02-24,2026-02-01,2026-02-23
2709,329260018835,3244809-4,"FUEL CONTROL,MAIN,TU",IPLR,2026-01-29,2026-01-30,Não,2026-02-02,2026-02-06,2026-02-02,2026-02-05
2728,685260010692,A1633-72,ANEL-O,IPLR,2026-01-28,2026-01-29,Não,2026-01-30,2026-02-24,2026-02-01,2026-02-23
2709,329260018842,023694-000,BATTERY NICKEL CADMI,AIFP,2026-02-05,2026-02-06,Não,2026-02-09,2026-02-19,2026-02-09,2026-02-18
2709,329260018834,025323-150,FUEL PUMP,IPLR,2026-01-29,2026-01-29,Não,2026-01-30,2026-03-09,2026-02-01,2026-02-28
2727,690260002228,AE776L8-3S,"CONNECTOR,PLUG,ELECT",AIFP,2026-02-12,2026-02-13,Não,2026-02-16,2026-03-09,2026-02-16,2026-02-28
