matricula,numero_emergencia,pn,nomenclatura,tipo,data_abertura,data_info,estoque,inicio_negativacao,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2738,313260018292,40SP-100,CELL BATTERY,IPLR,2026-06-03,2026-06-03,Não,2026-06-04,2026-06-12,2026-06-04,2026-06-11
2737,313260018317,40SP-100,CELL BATTERY,IPLR,2026-06-08,2026-06-09,Não,2026-06-10,2026-06-15,2026-06-10,2026-06-14
2721,329260019148,060-0017-00,FLIGHT DIR HOR,IPLR,2026-06-08,2026-06-09,Não,2026-06-10,2026-06-22,2026-06-10,2026-06-21
2738,313260018322,1H75-21,PRESSURE REGULATOR,IPLR,2026-06-09,2026-06-10,Não,2026-06-11,2026-06-12,2026-06-11,2026-06-11
2739,396260016517,3244809-1,"FUEL CONTROL,MAIN,TU",IPLR,2026-06-11,2026-06-11,Não,2026-06-12,2026-07-01,2026-06-12,2026-06-30
2738,313260018413,MS25182-2,"CONNECTOR,PLUG,ELECT",IPLR,2026-06-12,2026-06-12,Não,2026-06-15,2026-06-29,2026-06-15,2026-06-28
2723,419260000555,3244897-4,FUEL CONTROL UNIT,IPLR,2026-06-22,2026-06-23,Não,2026-06-24,2026-07-02,2026-06-24,2026-06-30
2719,685260012256,B100-06,COUPLING,IPLR,2026-06-25,2026-06-25,Não,2026-06-26,2026-07-01,2026-06-26,2026-06-30
2729,685260012257,B100-06,COUPLING,IPLR,2026-06-25,2026-06-25,Não,2026-06-26,2026-07-01,2026-06-26,2026-06-30
