matricula,numero_emergencia,pn,nomenclatura,tipo,data_abertura,data_info,estoque,inicio_negativacao,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2721,329260019264,C662041-0102,INDICATOR FUEL,AIFP,2026-08-07,2026-08-07,Não,2026-08-10,,2026-08-10,2026-08-21
2729,685260012588,51539-012N,CONTROL UNIT ASSY-GE,IPLR,2026-08-11,2026-08-12,Não,2026-08-13,,2026-08-13,2026-08-21
2727,690260002522,3244897-4,FUEL CONTROL UNIT,IPLR,2026-08-11,2026-08-12,Não,2026-08-13,2026-08-17,2026-08-13,2026-08-16
2729,685260012655,F2552-070,BARREL NUT,IPLR,2026-08-20,2026-08-19,Não,2026-08-20,,2026-08-20,2026-08-21
