matricula,numero_emergencia,pn,nomenclatura,tipo,data_abertura,data_info,estoque,inicio_negativacao,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2709,329260018834,025323-150,FUEL PUMP,IPLR,2026-01-29,2026-01-29,Não,2026-01-30,2026-03-09,2026-03-01,2026-03-08
2727,690260002228,AE776L8-3S,"CONNECTOR,PLUG,ELECT",AIFP,2026-02-12,2026-02-13,Não,2026-02-16,2026-03-09,2026-03-01,2026-03-08
2709,329260018885,51539-012N,CONTROL UNIT ASSY-GE,IPLR,2026-03-06,2026-03-09,Não,2026-03-10,2026-03-18,2026-03-10,2026-03-17
2736,313260017748,2613088-5,WINDSHIELD-LH 5/16 A,AIFP,2026-02-26,2026-02-27,Não,2026-03-02,2026-03-21,2026-03-02,2026-03-20
2720,329260018982,3244897-4,FUEL CONTROL UNIT,AIFP,2026-03-27,2026-03-30,Não,2026-03-31,2026-04-01,2026-03-31,2026-03-31
2720,329260018972,51539-012N,CONTROL UNIT ASSY-GE,AIFP,2026-03-27,2026-03-30,Não,2026-03-31,2026-04-06,2026-03-31,2026-03-31
2709,329260018969,51539-012N,CONTROL UNIT ASSY-GE,AIFP,2026-03-21,2026-03-23,Não,2026-03-24,2026-03-25,2026-03-24,2026-03-24
2719,685260011267,723655,VERNATHERM,IPLR,2026-03-18,2026-03-18,Não,2026-03-19,2026-04-08,2026-03-19,2026-03-31
