matricula,numero_emergencia,pn,nomenclatura,tipo,data_abertura,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2733,396250014919,2C6-8,FUEL BOOST PUMP,IPLR,2025-07-03,2025-08-11,2025-08-01,2025-08-10
2733,396250014933,011-00916-00,DISPLAY UNIT GDU 104,AIFP,2025-07-04,2025-08-07,2025-08-01,2025-08-06
2729,685250008817,C145-00-46,TRANSMISSION ASSY,IPLR,2025-07-11,2025-08-05,2025-08-01,2025-08-04
2729,685250008835,5111602-16,GROMMET,IPLR,2025-07-16,2025-08-22,2025-08-01,2025-08-21
2733,396250014954,9910592-2,ALTERNADOR,AIFP,2025-07-22,2025-09-04,2025-08-01,2025-08-31
2733,396250014964,011-00877-00,"GSA-80 SERVO ROL,YAW",AIFP,2025-07-23,2025-11-13,2025-08-01,2025-08-31
2733,396250014963,011-00878-10,GSA-81 TORQUE SERVO,AIFP,2025-07-23,2025-09-18,2025-08-01,2025-08-31
2739,396250014966,6361620-11,SPROCKET,AIFP,2025-07-23,2025-08-18,2025-08-01,2025-08-17
2709,329250018587,5934PAD-3,"ALTIMETER,PRESSURE",AIFP,2025-07-23,2025-08-12,2025-08-01,2025-08-11
2733,396250014969,MS27641-6G,BEARING,AIFP,2025-07-24,2025-09-01,2025-08-01,2025-08-31
2733,396250014970,6361620-11,SPROCKET,AIFP,2025-07-25,2025-08-18,2025-08-01,2025-08-17
2733,396250014973,MS35675-12,"PIN,GROOVED,HEADLESS",AIFP,2025-07-28,2025-08-18,2025-08-01,2025-08-17
2733,396250014974,SHD250,WIPER,AIFP,2025-07-28,2025-08-18,2025-08-01,2025-08-17
2722,685250008917,C661064-0237,AIRSPEED INDICATOR,IPLR,2025-08-04,2025-08-13,2025-08-04,2025-08-12
2728,685250008942,2606013-1RX,INDICATOR-PERCENT RP,IPLR,2025-08-06,2025-08-29,2025-08-06,2025-08-28
2739,396250015126,MS28775-010,ANEL-O,AIFP,2025-08-07,2025-08-20,2025-08-07,2025-08-19
2720,329250018615,D210507,"GOVERNOR,OVERSPEED",AIFP,2025-08-08,2025-08-15,2025-08-08,2025-08-14
2709,329250018614,D210507,"GOVERNOR,OVERSPEED",IPLR,2025-08-08,2025-09-25,2025-08-08,2025-08-31
2733,396250015209,540-1407-4,"VALVE,BLEED,TURBINEE",AIFP,2025-08-12,2025-10-15,2025-08-12,2025-08-31
2728,685250009160,C145-00-46,TRANSMISSION ASSY,AIFP,2025-08-22,2025-10-14,2025-08-22,2025-08-31
2728,685250009161,2662022-3,TUBE ASSY-FLAP,AIFP,2025-08-22,2025-10-14,2025-08-22,2025-08-31
2741,313250016987,011-01105-01,INTEGRATED AVIONICS,IPLR,2025-08-26,2025-10-30,2025-08-26,2025-08-31
2728,685250009180,2643065-2,BUNGEE ASSY,IPLR,2025-08-26,2025-10-29,2025-08-26,2025-08-31
2741,313250016988,030-18200,MAIN WHEEL BRAKE,IPLR,2025-08-28,2025-09-26,2025-08-28,2025-08-31
2737,313250016991,2126001-1,VALVE ASSY FUEL VENT,AIFP,2025-08-29,2025-09-26,2025-08-29,2025-08-31
