matricula,numero_emergencia,pn,nomenclatura,tipo,data_info,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2731,396250012433,71014,CAP,AIFP,2025-03-19,2025-06-27,2025-06-01,2025-06-27
2731,396250012434,2682004-1,RESERVOIR ASSY-BRAKE,AIFP,2025-03-19,2025-06-27,2025-06-01,2025-06-27
2731,396250012435,030-18200,MAIN WHEEL BRAKE,AIFP,2025-03-19,2025-07-07,2025-06-01,2025-06-30
2728,685250006245,050-02568-0013,KING INSTALLATION KI,AIFP,2025-03-31,2025-06-25,2025-06-01,2025-06-25
2728,685250006377,2662021-3,SWITCH ASSY-FLAP ACT,IPLR,2025-04-14,2025-06-30,2025-06-01,2025-06-30
2731,396250012631,244-18922,CABLE FIRE DET,AIFP,2025-04-28,2025-07-02,2025-06-01,2025-06-30
2728,685250006586,850C86-2,"TIRE,PNEUMATIC,AIRC",AIFP,2025-04-30,2025-06-27,2025-06-01,2025-06-27
2728,685250006589,30994-001,BATTERY-MARATHON TSP,AIFP,2025-04-30,2025-06-25,2025-06-01,2025-06-25
2731,396250013521,B100-06,COUPLING,AIFP,2025-05-07,2025-06-27,2025-06-01,2025-06-27
2731,396250013524,23541,"BUSHING,SLEEVE",AIFP,2025-05-07,2025-06-27,2025-06-01,2025-06-27
2731,396250013967,2600100-17,LINE ASSEMBLY - RIGH,AIFP,2025-05-21,2025-06-27,2025-06-01,2025-06-27
2728,685250006918,799-1,TRANSDUCER,AIFP,2025-05-22,2025-07-02,2025-06-01,2025-06-30
2728,685250007850,C662041-0102,FUEL QUANTITY INDICA,AIFP,2025-06-03,2025-06-16,2025-06-04,2025-06-16
2738,693250000841,2601266-3,COUPLING SPLINED,AIFP,2025-06-09,2025-06-12,2025-06-10,2025-06-12
2719,685250007890,MS29513-338,ANEL-O,IPLR,2025-06-11,2025-06-16,2025-06-12,2025-06-16
2727,690250001846,799-1,TRANSDUCER,IPLR,2025-06-11,2025-06-18,2025-06-12,2025-06-18
2738,693250000848,030-18200,MAIN WHEEL BRAKE,AIFP,2025-06-13,2025-06-19,2025-06-16,2025-06-19
2708,694250001974,030-18200,MAIN WHEEL BRAKE,IPLR,2025-06-13,2025-07-02,2025-06-16,2025-06-30
2708,694250001975,030-18200,MAIN WHEEL BRAKE,IPLR,2025-06-13,2025-07-02,2025-06-16,2025-06-30
2731,396250014650,2655001-11,TUBE ASSEMBLY TORQUE,AIFP,2025-06-23,2025-07-02,2025-06-24,2025-06-30
2731,396250014651,2655001-10,TUBE ASSEMBLY TORQUE,AIFP,2025-06-23,2025-07-02,2025-06-24,2025-06-30
2733,396250014684,F2552-070,BARREL NUT,IPLR,2025-06-27,2025-06-30,2025-06-30,2025-06-30
