matricula,numero_emergencia,pn,nomenclatura,tipo,data_abertura,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2708,694250001742,066-4010-12,RECEIVER VOR/LOC (KN,AIFP,2025-02-17,2025-05-05,2025-05-01,2025-05-04
2728,685250006026,AE3663163K0600,HOSE ASSY,AIFP,2025-02-26,2025-05-15,2025-05-01,2025-05-14
2731,396250012433,71014,CAP,AIFP,2025-03-19,2025-06-27,2025-05-01,2025-05-31
2731,396250012434,2682004-1,RESERVOIR ASSY-BRAKE,AIFP,2025-03-19,2025-06-27,2025-05-01,2025-05-31
2731,396250012435,030-18200,MAIN WHEEL BRAKE,AIFP,2025-03-19,2025-07-07,2025-05-01,2025-05-31
2727,690250001530,030-18200,MAIN WHEEL BRAKE,AIFP,2025-03-20,2025-05-12,2025-05-01,2025-05-11
2731,396250012440,17-260A,THERMOSTAT,AIFP,2025-03-24,2025-05-05,2025-05-01,2025-05-04
2727,690250001539,3244897-4,FUEL CONTROL UNIT,AIFP,2025-03-25,2025-05-09,2025-05-01,2025-05-08
2728,685250006245,050-02568-0013,KING INSTALLATION KI,AIFP,2025-03-31,2025-06-25,2025-05-01,2025-05-31
2731,396250012453,C301002-0104,"MOTOR,DIRECT CURRENT",AIFP,2025-04-01,2025-05-05,2025-05-01,2025-05-04
2728,685250006354,A1639-32,"NUT,SELF-LOCKING,HEX",IPLR,2025-04-10,2025-05-07,2025-05-01,2025-05-06
2728,685250006377,2662021-3,SWITCH ASSY-FLAP ACT,IPLR,2025-04-14,2025-06-30,2025-05-01,2025-05-31
2731,396250012631,244-18922,CABLE FIRE DET,AIFP,2025-04-28,2025-07-02,2025-05-01,2025-05-31
2728,685250006586,850C86-2,"TIRE,PNEUMATIC,AIRC",AIFP,2025-04-30,2025-06-27,2025-05-01,2025-05-31
2728,685250006589,30994-001,BATTERY-MARATHON TSP,AIFP,2025-04-30,2025-06-25,2025-05-01,2025-05-31
2719,685250006598,A1639-32,"NUT,SELF-LOCKING,HEX",IPLR,2025-04-30,2025-05-07,2025-05-01,2025-05-06
2731,396250013521,B100-06,COUPLING,AIFP,2025-05-07,2025-06-27,2025-05-07,2025-05-31
2731,396250013524,23541,"BUSHING,SLEEVE",AIFP,2025-05-07,2025-06-27,2025-05-07,2025-05-31
2723,304250072728,1U648-001,THERMOSTAT,IPLR,2025-05-08,2025-05-23,2025-05-08,2025-05-22
2731,396250013967,2600100-17,LINE ASSEMBLY - RIGH,AIFP,2025-05-21,2025-06-27,2025-05-21,2025-05-31
2728,685250006918,799-1,TRANSDUCER,AIFP,2025-05-22,2025-07-02,2025-05-22,2025-05-31
2709,329250018535,162-11800,WHEEL HALF ASSY-OUTE,IPLR,2025-05-22,2025-05-30,2025-05-22,2025-05-29
2709,329250018536,164-22201,BRAKE DISC,IPLR,2025-05-22,2025-05-30,2025-05-22,2025-05-29
2709,329250018537,066-03300,BRAKE LINING,IPLR,2025-05-22,2025-05-30,2025-05-22,2025-05-29
2709,329250018538,302-120-402,"INNER TUBE,PNEUMATIC",IPLR,2025-05-22,2025-05-30,2025-05-22,2025-05-29
2709,329250018539,850C86-2,PNEU PRINCIPAL 8.50-,IPLR,2025-05-22,2025-05-30,2025-05-22,2025-05-29
2709,329250018540,LM29749,"CONE AND ROLLERS,TAP",IPLR,2025-05-22,2025-05-30,2025-05-22,2025-05-29
