matricula,numero_emergencia,pn,nomenclatura,tipo,data_info,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2721,304250073395,2601271-11,DRIVE PULLEY,IPLR,2025-06-27,2025-10-20,2025-10-01,2025-10-20
2733,396250014964,011-00877-00,"GSA-80 SERVO ROL,YAW",AIFP,2025-07-24,2025-11-13,2025-10-01,2025-10-31
2733,396250015209,540-1407-4,"VALVE,BLEED,TURBINEE",AIFP,2025-08-13,2025-10-15,2025-10-01,2025-10-15
2728,685250009160,C145-00-46,TRANSMISSION ASSY,AIFP,2025-08-22,2025-10-14,2025-10-01,2025-10-14
2728,685250009161,2662022-3,TUBE ASSY-FLAP,AIFP,2025-08-22,2025-10-14,2025-10-01,2025-10-14
2741,313250016987,011-01105-01,INTEGRATED AVIONICS,IPLR,2025-08-27,2025-10-27,2025-10-01,2025-10-27
2728,685250009180,2643065-2,BUNGEE ASSY,IPLR,2025-08-27,2025-10-29,2025-10-01,2025-10-29
2728,685250009434,1400110-2,JACK POINT,IPLR,2025-09-17,2025-10-14,2025-10-01,2025-10-14
2737,313250017060,76-207-11,"SENSOR, FUEL LEVEL",AIFP,2025-09-24,2025-10-14,2025-10-01,2025-10-14
2736,313250017063,GF5500-81,LOW L SWITCH,AIFP,2025-10-09,2025-10-14,2025-10-10,2025-10-14
2728,685250009964,088-1132-02,CAP,IPLR,2025-09-30,2025-10-06,2025-10-01,2025-10-06
2719,685250009992,AA55487-5,"PIN,COTTER",IPLR,2025-10-02,2025-10-21,2025-10-03,2025-10-21
2741,313250017075,3244897-4,FUEL CONTROL UNIT,IPLR,2025-10-06,2025-10-14,2025-10-07,2025-10-14
2704,304250074484,850C86-2,PNEU PRINCIPAL 8.50-,IPLR,2025-10-09,2025-10-16,2025-10-10,2025-10-16
2704,304250074483,8.50-10,TUBE-MAIN GEAR,IPLR,2025-10-09,2025-10-16,2025-10-10,2025-10-16
2728,685250010033,069-01034-0102,"NAVIGATION SET,SATEL",IPLR,2025-10-13,2026-01-28,2025-10-14,2025-10-31
2733,396250015540,OD1232-24MB,DC FAN,AIFP,2025-10-30,2025-11-11,2025-10-31,2025-10-31
2733,396250015562,30994-001,BATTERY-MARATHON TSP,AIFP,2025-10-21,2025-10-30,2025-10-22,2025-10-30
