matricula,numero_emergencia,pn,nomenclatura,tipo,data_abertura,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2733,396250014954,9910592-2,ALTERNADOR,AIFP,2025-07-22,2025-09-04,2025-09-01,2025-09-03
2733,396250014964,011-00877-00,"GSA-80 SERVO ROL,YAW",AIFP,2025-07-23,2025-11-13,2025-09-01,2025-09-30
2733,396250014963,011-00878-10,GSA-81 TORQUE SERVO,AIFP,2025-07-23,2025-09-18,2025-09-01,2025-09-17
2709,329250018614,D210507,"GOVERNOR,OVERSPEED",IPLR,2025-08-08,2025-09-25,2025-09-01,2025-09-24
2733,396250015209,540-1407-4,"VALVE,BLEED,TURBINEE",AIFP,2025-08-12,2025-10-15,2025-09-01,2025-09-30
2728,685250009160,C145-00-46,TRANSMISSION ASSY,AIFP,2025-08-22,2025-10-14,2025-09-01,2025-09-30
2728,685250009161,2662022-3,TUBE ASSY-FLAP,AIFP,2025-08-22,2025-10-14,2025-09-01,2025-09-30
2741,313250016987,011-01105-01,INTEGRATED AVIONICS,IPLR,2025-08-26,2025-10-30,2025-09-01,2025-09-30
2728,685250009180,2643065-2,BUNGEE ASSY,IPLR,2025-08-26,2025-10-29,2025-09-01,2025-09-30
2741,313250016988,030-18200,MAIN WHEEL BRAKE,IPLR,2025-08-28,2025-09-26,2025-09-01,2025-09-25
2737,313250016991,2126001-1,VALVE ASSY FUEL VENT,AIFP,2025-08-29,2025-09-26,2025-09-01,2025-09-25
2728,685250009228,S2527-2,CONNECTOR,IPLR,2025-09-01,2025-09-25,2025-09-01,2025-09-24
2728,685250009229,C668050-1103,TRANSMITER FUEL,IPLR,2025-09-01,2025-09-25,2025-09-01,2025-09-24
2737,313250017010,76-207-2,"FUEL LEVEL SENSOR,SP",IPLR,2025-09-03,2025-09-24,2025-09-03,2025-09-23
2737,313250017009,76-207-1,"SENSOR, FUEL LEVEL",IPLR,2025-09-03,2025-10-14,2025-09-03,2025-09-30
2728,685250009242,C661064-0237,AIRSPEED INDICATOR,IPLR,2025-09-03,2025-09-09,2025-09-03,2025-09-08
2741,313250017012,MS21069L5,"NUT, SELF-LOCKING, P",IPLR,2025-09-04,2025-09-16,2025-09-04,2025-09-15
2702,346250000663,161-12800,WHEEL HALF ASSY-INNE,AIFP,2025-09-08,2025-09-11,2025-09-08,2025-09-10
2702,346250000664,162-11800,WHEEL HALF ASSY-OUTE,AIFP,2025-09-08,2025-09-11,2025-09-08,2025-09-10
2741,313250017014,A1633-72,ANEL-O,IPLR,2025-09-09,2025-09-26,2025-09-09,2025-09-25
2728,685250009434,1400110-2,JACK POINT,IPLR,2025-09-16,2025-10-14,2025-09-16,2025-09-30
2737,313250017060,76-207-11,"SENSOR, FUEL LEVEL",AIFP,2025-09-24,2025-10-14,2025-09-24,2025-09-30
2736,313250017063,GF5500-81,LOW L SWITCH,AIFP,2025-09-24,2025-10-14,2025-09-24,2025-09-30
2728,685250009964,088-1132-02,CAP,IPLR,2025-09-29,2025-10-06,2025-09-29,2025-09-30
